id,trigger,conditions,script,text,options,notes
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","你的指挥界面上叠加显示了星门周围的超空间流形图像。它平稳而寂静，和超空间驱动器留下的航迹截然不同。

扫描开始，你看到在代表你旗舰和星门的图标之间出现了一条扭曲而闪烁的连线。非牛顿体的波动充满了漩涡和涟漪，从星门中央处的一个点向外喷涌而出。不，那不是一个点，那个形状逐渐形成了一个圈、一个球、一个环，形成一个近小远大的漏斗，直到最后产生了一些无法描述的形态，让你不由得双眼紧闭。同时你听到远处传来了微弱的旋律。

""舰长？"" 传感器技师正看着你，""扫描完成了。"" 你才意识到这是他第二次说这句话了。你打了个手势，用沉思作为借口掩饰了自己的失态。",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","你的指挥界面上叠加显示了星门周围的超空间流形图像。它平稳而寂静。

扫描开始，你看到你旗舰和星门之间出了一条扭曲而闪烁的连线。随后充满了漩涡和涟漪的非牛顿体从星门中央处的一个点向喷涌而出。不，那不是一个点，那个形状逐渐形成了一个圈、一个球、一个环，形成一个近小远大的漏斗，直到最后产生了一些无法用几何描述的东西。

你听到了那微弱的旋律。

""船长，"" 你的传感器操作官汇报道，""扫描完成了。""",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","你的指挥界面上叠加显示了星门周围的超空间流形图像。它平稳而寂静。

扫描光束在超维度显示画面中闪烁着。漩涡和涟漪从星门中涌出，汇聚成无法描述的几何结构。你听到了一丝微弱的旋律。

""船长，"" 你的传感器操作官汇报道，""扫描完成了。""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:穿越星门,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:利用星门跳跃,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:扫描星门,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:离开,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:继续,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"你亲自目送走了之前仍对你的旗舰保持警戒的卢德信徒队伍。他们的舰队平安返回，他们的集体朝拜没有受到干扰。

""愿卢德祝福您，舰长。""他们的领队说到，""我会在归来先知面前美言您几句的。""

你知道这时最好别提出任何神学方面问题，只需要点头表示接受，并在他们的穿梭机离开机库时礼貌地挥手致意就好。",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",星门中爆发出一股澎湃的能量。,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:离开,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:离开,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Demand...
#offer:Offer...
#ask about:Ask about...
cutCommLink:Cut the comm link",
,,,,,,
,,,,,,
# survey interactions,,,,,,
surveyStar,OpenInteractionDialog,$tag:star score:1000,,你的$shipOrFleet接近了 $entityName。,10:surveyLeave:离开,
surveyOpen,OpenInteractionDialog,$market.isPlanetConditionMarketOnly,"ShowDefaultVisual
PrintDescription 3
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo",你的$shipOrFleet接近了 $entityName。,,
surveyOpenDeciv,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$market.wasCivilized
$market.mc:decivilized score:100","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","你的$shipOrFleet靠近了 $entityName。

$marketName 正处于一片混乱之中，四散在各处的难民们都在不择手段地竭力求生。你的传感器还不时地能探测到短暂的轻武器交火讯号。虽然政权的崩溃已经完全不可逆转，但在旧世界的废墟上仍然可以建立一个崭新的殖民地。",,
surveyPrintFullData,PrintHasSurveyDataTextIfSo,$market.isSurveyed,,你已经拥有了该行星的完整调查数据。,,
surveyAddOptionPerform,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed",,,0:surveyPerform:开始调查,
surveyPrintHostilesText,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,附近有支敌方舰队正追踪你的行动，使你无法调查该行星。,,
surveySystemIsCutOffCanNotColonize,PrintSystemCutOffText,"$systemCutOffFromHyper
$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",SetEnabled surveyPerform false,"这个星系与超空间隔绝，跳跃点也不稳定。船员们都异常地沉默而紧张，甚至军官也不例外。你猜测无论给出多高的风险补贴都无法让太空人克服对被困在这种星系内的迷信般的恐惧。

无法在此建立殖民地。",,
surveyAddOptionPerformedAlready,PopulateOptions,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",FireBest PrintSystemCutOffText,,0:surveyPerform:建立殖民地,
surveyPrintHostilesTextEstColony,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,附近有支敌方舰队正追踪你的行动，使你无法建立殖民地。,,
surveyOptionPerformSurvey,DialogOptionSelected,$option == surveyPerform,OpenCoreTab CARGO OPEN,你的$shipOrFleet进入了环绕 $entityName 的低轨道。,,
surveyAddOptionLeave,PopulateOptions,$market.isPlanetConditionMarketOnly,"SetShortcut surveyLeave ""ESCAPE""",,10:surveyLeave:离开,
surveyOptionLeave,DialogOptionSelected,$option == surveyLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# market interactions,,,,,,
# default market interactions,,,,,,
marketOpen,OpenInteractionDialog,$hasMarket,"ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen",你的$shipOrFleet接近了 $entityName。,,
marketDock,MarketPostDock,,"$menuState = main 0
FireAll PopulateOptions",,,
marketOpenAfterEstablishOutpost,OutpostEstablished,$hasMarket,FireBest MarketPostOpen,你的$shipOrFleet完成了对船员、补给以及重型机械的卸载工作，船员们很快就忙着在 $marketName 搭建起临时住所和其他基础设施。,,
marketReturnFromBar,ReturnFromBar,,"$menuState = main 0
FireAll PopulateOptions",你离开酒吧，乘坐穿梭机回到了你的$shipOrFleet当中。,,
marketPostOpenDefault,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock",你的$shipOrFleet通过应答器发送了识别代码。很快便收到了入港许可。,,
marketPostOpenGilead,MarketPostOpen,"$market.id == gilead
$faction.id == luddic_church
$hasMarket
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock",你的$shipOrFleet通过应答器发送了识别代码后，你很快就在停泊轨道中被分到了一个空位。,,
marketPostOpenDefaultNeutral,MarketPostOpen,"$hasMarket
$faction.isNeutralFaction score:100","$tradeMode = OPEN 0
FireBest MarketPostDock",,,
marketPostOpenNoTrade,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
RepIsAtBest $faction.id INHOSPITABLE","Highlight  ""关闭应答器""
$tradeMode = NONE 0
FireBest MarketPostDock","鉴于 $TheFactionLong 与你处于 $relAdjective 关系，港务局拒绝了你的入港许可。

不过关闭应答器的话...倒是可能与这儿的地下组织取得联系。",,
marketPostOpenNoTradeHostile,MarketPostOpen,"$hasMarket
!$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
SetTextHighlightColors bad
Highlight $market.playerHostileTimeoutStr
FireBest MarketPostDock",你最近在 $marketName 附近采取的行动已经引起了广泛的关注。关闭应答器已经无法蒙混过关。从目前的传言和新闻来看，你恐怕得等 $playerHostileTimeoutStr 才能指望骚乱平息。,,
marketPostOpenNoTradeHostileTOn,MarketPostOpen,"$hasMarket
$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
SetTextHighlightColors bad
Highlight $market.playerHostileTimeoutStr
FireBest MarketPostDock",你最近在 $marketName 附近采取的行动已经引起了广泛的关注。目前已无法进行公开交易。从目前的传言和新闻来看，你恐怕得等 $playerHostileTimeoutStr 才能指望骚乱平息。,,
marketPostOpenNoTradeOffOpen,MarketPostOpen,"$hasMarket
$player.transponderOn
RepIsAtBest $faction.id INHOSPITABLE score:10","Highlight  ""关闭你的应答器""
$tradeMode = NONE 0
FireBest MarketPostDock","鉴于 $TheFactionLong 与你处于 $relAdjective 关系，港务局拒绝了你的入港许可。

对方拒绝的理由相当敷衍，你觉得只需关闭你的应答器就可轻松混入。",,
marketPostOpenToOffPatrols,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
IsSeenByPatrols $faction.id true","$tradeMode = NONE 0
AddText ""必须打开应答器才能进行合法贸易，否则只能隐入黑市交易。"" bad
FireBest MarketPostDock","你的$shipOrFleet进入了环绕着 $marketName 的轨道，并无视了 $faction 港务局所发出的身份识别要求。

至少有一支 $faction 巡逻队正追踪你的舰队，导致地下组织没人愿意冒险与你暗中交易。",,
marketPostOpenSought,MarketPostOpen,"$hasMarket
IsSoughtByPatrols $faction.id score:100","$tradeMode = NONE 0
FireBest MarketPostDock","你的$shipOrFleet进入了环绕 $marketName 的轨道。

至少有一支 $faction 巡逻队正追踪你的舰队，导致港务局拒绝了你的入港许可。",,
marketPostOpenToOffIsFine,MarketPostOpen,"$hasMarket
!$player.transponderOn","$tradeMode = OPEN 0
FireBest MarketPostDock","你的$shipOrFleet进入了环绕着 $marketName 的轨道附近，港务局对你谎称自己的应答器 ""非常抱歉地无法开启"" 的理由没有提出任何质疑。",,
marketPostOpenPlayerOwnerd,MarketPostOpen,"$hasMarket
$market.isPlayerOwned score:1000","$tradeMode = OPEN 0
FireBest MarketPostDock",你的$shipOrFleet进入了环绕着 $marketName 的轨道。,,
marketPostOpenToOffSneak,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market","$tradeMode = SNEAK 0
FireBest MarketPostDock","你的$shipOrFleet进入了环绕着 $marketName 的轨道，并无视了 $theFaction 港务局所发出的身份识别要求。

目前似乎没有 $faction 巡逻队注意到你，这也给无法取得靠港许可的你一次暗中交易的机会。",,
marketAddOptionCommDir,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction",,,1:marketCommDir:打开通讯列表,
marketOptTradeMulti,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction
$faction.id != player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:进行货物贸易或雇用船员 [I]，买卖舰船 [F]，或改装舰船 [R]。,"10:marketOpenCoreUI:Trade goods or hire crew, buy or sell ships, or refit"
#marketOptTradeMulti2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Transfer goods or ships,
orbitalStorageInteractionCargo1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction
!$inspectedCargo","SetShortcut marketOpenCargo ""I"" true",,10:marketOpenCargo:检查货舱区域,
orbitalStorageInteractionFleet1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction
!$inspectedShips","SetShortcut marketOpenFleet ""F"" true
$global.autoOpenBuyShipsTab = true 0",,11:marketOpenFleet:检查舰船对接港口,
orbitalStorageInteractionCargo2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction
$inspectedCargo","SetShortcut marketOpenCargo ""I"" true",,10:marketOpenCargo:转移货物,
orbitalStorageInteractionFleet2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction
$inspectedShips","SetShortcut marketOpenFleet ""F"" true",,11:marketOpenFleet:转移舰船,
orbitalStorageInteractionRefit,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",MakeOptionOpenCore marketOpenRefit REFIT $tradeMode true,,12:marketOpenRefit:使用本地的设施改装你的$shipOrFleet,
marketOpenCargoSel,DialogOptionSelected,$option == marketOpenCargo,"OpenCoreTab CARGO $tradeMode
$inspectedCargo = true",,,
marketOpenFleetSel,DialogOptionSelected,$option == marketOpenFleet,"OpenCoreTab FLEET $tradeMode
$inspectedShips = true
unset $global.autoOpenBuyShipsTab",,,
marketOptTradeMulti3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.id == player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:管理殖民地,
marketOptTradeMulti4,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == NONE",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:查看殖民地信息,
marketOptBar,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction
!$market.noBar",,,5:marketVisitBar:乘坐穿梭机前往港口边的酒吧,
marketOptHostile,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction
$faction.id != player",,,20:marketConsiderHostile:考虑可以采取的军事行动,
marketHostileSel,DialogOptionSelected,$option == marketConsiderHostile,MarketCMD showDefenses,,,
marketHostileGoBackSel,DialogOptionSelected,$option == mktGoBack,"ShowDefaultVisual
FireAll PopulateOptions",,,
marketHostileEngageSel,DialogOptionSelected,$option == mktEngage,MarketCMD engage,,,
marketHostileRaidSel,DialogOptionSelected,$option == mktRaid,MarketCMD raidMenu,,,
marketHostileRaidNonMarket,DialogOptionSelected,$option == mktRaidNonMarket,MarketCMD raidNonMarket,,,
marketHostileRaidGoBackSel,DialogOptionSelected,$option == mktRaidGoBack,MarketCMD goBackToDefenses,,,
marketHostileRaidRareSel,DialogOptionSelected,$option == mktRaidRare,MarketCMD raidRare,,,Unused.
marketHostileRaidValuableSel,DialogOptionSelected,$option == mktRaidValuable,MarketCMD raidValuable,,,
marketHostileRaidDisruptSel,DialogOptionSelected,$option == mktRaidDisrupt,MarketCMD raidDisrupt,,,
marketHostileRaidConfirmSel,DialogOptionSelected,$option == mktRaidConfirm,MarketCMD raidConfirm,,,
marketHostileRaidConfirmContSel,DialogOptionSelected,$option == mktRaidConfirmContinue,MarketCMD raidConfirmContinue,,,
marketHostileRaidNeverMindSel,DialogOptionSelected,$option == mktRaidNeverMind,MarketCMD raidNeverMind,,,
marketHostileRaidResultSel,DialogOptionSelected,$option == mktRaidResult,MarketCMD raidResult,,,
marketHostileRaidPostRaidDefault,PostGroundRaid,,MarketCMD addContinueToRaidResultOption,,,
,,,,,,
,,,,,,
marketHostileBombardSel,DialogOptionSelected,$option == mktBombard,MarketCMD bombardMenu,,,
marketHostileBombardGoBackSel,DialogOptionSelected,$option == mktBombardGoBack,MarketCMD goBackToDefenses,,,
marketHostileBombardTacticalSel,DialogOptionSelected,$option == mktBombardTactical,MarketCMD bombardTactical,,,
marketHostileBombardSaturationSel,DialogOptionSelected,$option == mktBombardSaturation,MarketCMD bombardSaturation,,,
marketHostileBombardConfirmSel,DialogOptionSelected,$option == mktBombardConfirm,MarketCMD bombardConfirm,,,
marketHostileBombardNeverMindSel,DialogOptionSelected,$option == mktBombardNeverMind,MarketCMD bombardNeverMind,,,
marketHostileBombardResultSel,DialogOptionSelected,$option == mktBombardResult,MarketCMD bombardResult,,,
,,,,,,
,,,,,,
marketAddOptionRepair1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
RepairEnoughSupplies","SetTooltip marketRepair ""完全修理需要消耗 $global.repairSupplyCost 补给。你有 $player.supplies 补给可用。""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true",,15:marketRepair:前往船坞修理你的舰船,
marketAddOptionRepair2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
!RepairNeeded","SetTooltip marketRepair ""你的$shipOrFleet不需要维修。""
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:前往船坞修理你的舰船,
marketAddOptionRepair3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
!RepairEnoughSupplies","SetTooltip marketRepair ""完全维修需要消耗 $repairSupplyCost 补给。你只有 $supplies 补给可用。""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:前往船坞修理你的舰船,
marketAddOptionLeave,PopulateOptions,"$hasMarket
$menuState == main","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,100:marketLeave:离开,
,,,,,,
marketOpenCoreSel,DialogOptionSelected,$option == marketOpenCoreUI,,,,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,你与港务局的货物管理系统建立连接，并开始浏览当地的存货。,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,你与当地船坞建立连接，并开始浏览可供购入的船体。,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,你与当地船坞建立连接，并传输了你的$shipOrFleet状态。,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,"RepairAll
SetTextHighlights $global.repairSupplyCost
SetEnabled marketRepair false
SetTooltip marketRepair ""你的$shipOrFleet不需要修理。""",你的$shipOrFleet通过全面维修已恢复到最大战备状态，共消耗 $global.repairSupplyCost 单位补给。,,
marketOptionCommDir,DialogOptionSelected,$option == marketCommDir,OpenCommDirectory,你与本地通讯目录建立连接，浏览公共目录和已知通讯人的列表。,,
marketOptionLeave,DialogOptionSelected,$option == marketLeave,DismissDialog,,,
,,,,,,
,,,,,,
# Food Shortage Event finish,,,,,,
